time, rx, ry, rz, vx, vy, vz
1.9,0,0,-0.323297,0,0,-0.946286,
1.91,0,0,-0.332744,0,0,-0.943005,
1.92,0,0,-0.342157,0,0,-0.939631,
1.93,0,0,-0.351536,0,0,-0.936163,
1.94,0,0,-0.36088,0,0,-0.9326,
1.95,0,0,-0.370188,0,0,-0.928945,
1.96,0,0,-0.379459,0,0,-0.925197,
1.97,0,0,-0.388692,0,0,-0.921356,
1.98,0,0,-0.397886,0,0,-0.917423,
1.99,0,0,-0.407041,0,0,-0.913399,
2,0,0,-0.416154,0,0,-0.909283,
2.01,0,0,-0.425226,0,0,-0.905076,
2.02,0,0,-0.434256,0,0,-0.900778,
2.03,0,0,-0.443242,0,0,-0.896391,
2.04,0,0,-0.452184,0,0,-0.891914,
2.05,0,0,-0.46108,0,0,-0.887347,
2.06,0,0,-0.469931,0,0,-0.882692,
2.07,0,0,-0.478734,0,0,-0.877949,
2.08,0,0,-0.48749,0,0,-0.873118,
2.09,0,0,-0.496196,0,0,-0.868199,
2.1,0,0,-0.504854,0,0,-0.863194,
2.11,0,0,-0.51346,0,0,-0.858103,
2.12,0,0,-0.522016,0,0,-0.852925,
2.13,0,0,-0.530519,0,0,-0.847663,
2.14,0,0,-0.538969,0,0,-0.842315,
2.15,0,0,-0.547365,0,0,-0.836883,
2.16,0,0,-0.555707,0,0,-0.831368,
2.17,0,0,-0.563993,0,0,-0.82577,
2.18,0,0,-0.572222,0,0,-0.820088,
2.19,0,0,-0.580394,0,0,-0.814325,
2.2,0,0,-0.588509,0,0,-0.808481,
2.21,0,0,-0.596564,0,0,-0.802556,
2.22,0,0,-0.60456,0,0,-0.79655,
2.23,0,0,-0.612495,0,0,-0.790465,
2.24,0,0,-0.620369,0,0,-0.7843,
2.25,0,0,-0.628181,0,0,-0.778058,
2.26,0,0,-0.63593,0,0,-0.771737,
2.27,0,0,-0.643616,0,0,-0.765339,
2.28,0,0,-0.651237,0,0,-0.758865,
2.29,0,0,-0.658793,0,0,-0.752315,
2.3,0,0,-0.666283,0,0,-0.74569,
2.31,0,0,-0.673707,0,0,-0.73899,
2.32,0,0,-0.681063,0,0,-0.732216,
2.33,0,0,-0.688351,0,0,-0.725369,
2.34,0,0,-0.69557,0,0,-0.718449,
2.35,0,0,-0.70272,0,0,-0.711458,
2.36,0,0,-0.709799,0,0,-0.704395,
2.37,0,0,-0.716808,0,0,-0.697262,
2.38,0,0,-0.723745,0,0,-0.690059,
2.39,0,0,-0.730609,0,0,-0.682787,
2.4,0,0,-0.7374,0,0,-0.675447,
2.41,0,0,-0.744118,0,0,-0.66804,
2.42,0,0,-0.750761,0,0,-0.660565,
2.43,0,0,-0.757329,0,0,-0.653025,
2.44,0,0,-0.763822,0,0,-0.645419,
2.45,0,0,-0.770238,0,0,-0.637749,
2.46,0,0,-0.776577,0,0,-0.630015,
2.47,0,0,-0.782838,0,0,-0.622218,
2.48,0,0,-0.789021,0,0,-0.614358,
2.49,0,0,-0.795125,0,0,-0.606438,
2.5,0,0,-0.80115,0,0,-0.598456,
2.51,0,0,-0.807094,0,0,-0.590415,
2.52,0,0,-0.812958,0,0,-0.582315,
2.53,0,0,-0.818741,0,0,-0.574156,
2.54,0,0,-0.824441,0,0,-0.56594,
2.55,0,0,-0.830059,0,0,-0.557668,
2.56,0,0,-0.835595,0,0,-0.54934,
2.57,0,0,-0.841046,0,0,-0.540956,
2.58,0,0,-0.846414,0,0,-0.532519,
2.59,0,0,-0.851697,0,0,-0.524029,
2.6,0,0,-0.856894,0,0,-0.515486,
2.61,0,0,-0.862006,0,0,-0.506891,
2.62,0,0,-0.867032,0,0,-0.498246,
2.63,0,0,-0.871971,0,0,-0.489551,
2.64,0,0,-0.876823,0,0,-0.480807,
2.65,0,0,-0.881587,0,0,-0.472015,
2.66,0,0,-0.886263,0,0,-0.463176,
2.67,0,0,-0.890851,0,0,-0.45429,
2.68,0,0,-0.895349,0,0,-0.445359,
2.69,0,0,-0.899758,0,0,-0.436384,
2.7,0,0,-0.904077,0,0,-0.427364,
2.71,0,0,-0.908305,0,0,-0.418302,
2.72,0,0,-0.912443,0,0,-0.409199,
2.73,0,0,-0.916489,0,0,-0.400054,
2.74,0,0,-0.920444,0,0,-0.390869,
2.75,0,0,-0.924307,0,0,-0.381646,
2.76,0,0,-0.928077,0,0,-0.372384,
2.77,0,0,-0.931754,0,0,-0.363085,
2.78,0,0,-0.935339,0,0,-0.353749,
2.79,0,0,-0.938829,0,0,-0.344378,
2.8,0,0,-0.942226,0,0,-0.334973,
2.81,0,0,-0.945529,0,0,-0.325534,
2.82,0,0,-0.948737,0,0,-0.316063,
2.83,0,0,-0.95185,0,0,-0.30656,
2.84,0,0,-0.954868,0,0,-0.297026,
2.85,0,0,-0.957791,0,0,-0.287463,
2.86,0,0,-0.960617,0,0,-0.277871,
2.87,0,0,-0.963348,0,0,-0.268251,
2.88,0,0,-0.965982,0,0,-0.258605,
2.89,0,0,-0.96852,0,0,-0.248932,
2.9,0,0,-0.970961,0,0,-0.239235,
2.91,0,0,-0.973305,0,0,-0.229513,
2.92,0,0,-0.975551,0,0,-0.219769,
2.93,0,0,-0.9777,0,0,-0.210003,
2.94,0,0,-0.979751,0,0,-0.200215,
2.95,0,0,-0.981705,0,0,-0.190408,
2.96,0,0,-0.98356,0,0,-0.180582,
2.97,0,0,-0.985316,0,0,-0.170738,
2.98,0,0,-0.986974,0,0,-0.160876,
2.99,0,0,-0.988534,0,0,-0.150999,
3,0,0,-0.989994,0,0,-0.141106,
3.01,0,0,-0.991356,0,0,-0.131199,
3.02,0,0,-0.992618,0,0,-0.121279,
3.03,0,0,-0.993781,0,0,-0.111347,
3.04,0,0,-0.994845,0,0,-0.101404,
3.05,0,0,-0.995809,0,0,-0.0914508,
3.06,0,0,-0.996674,0,0,-0.0814884,
3.07,0,0,-0.997439,0,0,-0.0715179,
3.08,0,0,-0.998105,0,0,-0.0615401,
3.09,0,0,-0.99867,0,0,-0.0515563,
3.1,0,0,-0.999136,0,0,-0.0415672,
3.11,0,0,-0.999501,0,0,-0.0315741,
3.12,0,0,-0.999767,0,0,-0.0215777,
3.13,0,0,-0.999933,0,0,-0.0115792,
3.14,0,0,-0.999999,0,0,-0.00157955,
3.15,0,0,-0.999965,0,0,0.00842027,
3.16,0,0,-0.99983,0,0,0.0184192,
3.17,0,0,-0.999596,0,0,0.0284164,
3.18,0,0,-0.999262,0,0,0.0384107,
3.19,0,0,-0.998828,0,0,0.0484011,
3.2,0,0,-0.998294,0,0,0.0583867,
3.21,0,0,-0.99766,0,0,0.0683665,
3.22,0,0,-0.996927,0,0,0.0783394,
3.23,0,0,-0.996093,0,0,0.0883045,
3.24,0,0,-0.995161,0,0,0.0982608,
3.25,0,0,-0.994128,0,0,0.108207,
3.26,0,0,-0.992996,0,0,0.118143,
3.27,0,0,-0.991765,0,0,0.128067,
3.28,0,0,-0.990435,0,0,0.137978,
3.29,0,0,-0.989006,0,0,0.147875,
3.3,0,0,-0.987478,0,0,0.157757,
3.31,0,0,-0.985851,0,0,0.167624,
3.32,0,0,-0.984125,0,0,0.177474,
3.33,0,0,-0.982301,0,0,0.187306,
3.34,0,0,-0.980379,0,0,0.197119,
3.35,0,0,-0.978359,0,0,0.206913,
3.36,0,0,-0.976241,0,0,0.216686,
3.37,0,0,-0.974025,0,0,0.226437,
3.38,0,0,-0.971712,0,0,0.236166,
3.39,0,0,-0.969302,0,0,0.245871,
3.4,0,0,-0.966795,0,0,0.255552,
3.41,0,0,-0.964191,0,0,0.265207,
3.42,0,0,-0.96149,0,0,0.274835,
3.43,0,0,-0.958694,0,0,0.284436,
3.44,0,0,-0.955802,0,0,0.294008,
3.45,0,0,-0.952814,0,0,0.303551,
3.46,0,0,-0.949731,0,0,0.313064,
3.47,0,0,-0.946553,0,0,0.322546,
3.48,0,0,-0.94328,0,0,0.331995,
3.49,0,0,-0.939913,0,0,0.341411,
3.5,0,0,-0.936452,0,0,0.350792,
3.51,0,0,-0.932897,0,0,0.360139,
3.52,0,0,-0.929249,0,0,0.36945,
3.53,0,0,-0.925508,0,0,0.378724,
3.54,0,0,-0.921674,0,0,0.38796,
3.55,0,0,-0.917749,0,0,0.397157,
3.56,0,0,-0.913731,0,0,0.406314,
3.57,0,0,-0.909622,0,0,0.415431,
3.58,0,0,-0.905423,0,0,0.424506,
3.59,0,0,-0.901132,0,0,0.433539,
3.6,0,0,-0.896752,0,0,0.442528,
3.61,0,0,-0.892282,0,0,0.451474,
3.62,0,0,-0.887722,0,0,0.460374,
3.63,0,0,-0.883074,0,0,0.469228,
3.64,0,0,-0.878338,0,0,0.478035,
3.65,0,0,-0.873513,0,0,0.486794,
3.66,0,0,-0.868602,0,0,0.495504,
3.67,0,0,-0.863603,0,0,0.504165,
3.68,0,0,-0.858519,0,0,0.512776,
3.69,0,0,-0.853348,0,0,0.521335,
3.7,0,0,-0.848092,0,0,0.529843,
3.71,0,0,-0.842751,0,0,0.538297,
3.72,0,0,-0.837326,0,0,0.546697,
3.73,0,0,-0.831817,0,0,0.555043,
3.74,0,0,-0.826225,0,0,0.563333,
3.75,0,0,-0.82055,0,0,0.571567,
3.76,0,0,-0.814794,0,0,0.579744,
3.77,0,0,-0.808956,0,0,0.587862,
3.78,0,0,-0.803036,0,0,0.595922,
3.79,0,0,-0.797037,0,0,0.603923,
3.8,0,0,-0.790958,0,0,0.611863,
3.81,0,0,-0.7848,0,0,0.619742,
3.82,0,0,-0.778563,0,0,0.627558,
3.83,0,0,-0.772249,0,0,0.635312,
3.84,0,0,-0.765857,0,0,0.643003,
3.85,0,0,-0.759389,0,0,0.650629,
3.86,0,0,-0.752844,0,0,0.65819,
3.87,0,0,-0.746225,0,0,0.665686,
3.88,0,0,-0.739531,0,0,0.673114,
3.89,0,0,-0.732763,0,0,0.680476,
3.9,0,0,-0.725921,0,0,0.687769,
3.91,0,0,-0.719007,0,0,0.694994,
3.92,0,0,-0.712021,0,0,0.702149,
3.93,0,0,-0.704964,0,0,0.709234,
3.94,0,0,-0.697837,0,0,0.716248,
3.95,0,0,-0.690639,0,0,0.72319,
3.96,0,0,-0.683373,0,0,0.730061,
3.97,0,0,-0.676038,0,0,0.736858,
3.98,0,0,-0.668636,0,0,0.743581,
3.99,0,0,-0.661166,0,0,0.75023,
4,0,0,-0.653631,0,0,0.756804,
4.01,0,0,-0.64603,0,0,0.763302,
4.02,0,0,-0.638365,0,0,0.769724,
4.03,0,0,-0.630636,0,0,0.776069,
4.04,0,0,-0.622844,0,0,0.782337,
4.05,0,0,-0.614989,0,0,0.788526,
4.06,0,0,-0.607073,0,0,0.794636,
4.07,0,0,-0.599096,0,0,0.800667,
4.08,0,0,-0.59106,0,0,0.806618,
4.09,0,0,-0.582964,0,0,0.812488,
4.1,0,0,-0.57481,0,0,0.818277,
4.11,0,0,-0.566598,0,0,0.823984,
4.12,0,0,-0.55833,0,0,0.829608,
4.13,0,0,-0.550006,0,0,0.83515,
4.14,0,0,-0.541627,0,0,0.840608,
4.15,0,0,-0.533194,0,0,0.845982,
4.16,0,0,-0.524708,0,0,0.851272,
4.17,0,0,-0.516169,0,0,0.856476,
4.18,0,0,-0.507578,0,0,0.861595,
4.19,0,0,-0.498937,0,0,0.866628,
4.2,0,0,-0.490246,0,0,0.871573,
4.21,0,0,-0.481505,0,0,0.876432,
4.22,0,0,-0.472717,0,0,0.881203,
4.23,0,0,-0.463881,0,0,0.885886,
4.24,0,0,-0.454999,0,0,0.890481,
4.25,0,0,-0.446072,0,0,0.894986,
4.26,0,0,-0.437099,0,0,0.899402,
4.27,0,0,-0.428084,0,0,0.903728,
4.28,0,0,-0.419025,0,0,0.907963,
4.29,0,0,-0.409924,0,0,0.912108,
4.3,0,0,-0.400783,0,0,0.916162,
4.31,0,0,-0.391601,0,0,0.920124,
4.32,0,0,-0.38238,0,0,0.923993,
4.33,0,0,-0.373121,0,0,0.927771,
4.34,0,0,-0.363825,0,0,0.931456,
4.35,0,0,-0.354492,0,0,0.935047,
4.36,0,0,-0.345124,0,0,0.938545,
4.37,0,0,-0.335721,0,0,0.94195,
4.38,0,0,-0.326285,0,0,0.94526,
4.39,0,0,-0.316816,0,0,0.948475,
4.4,0,0,-0.307315,0,0,0.951596,
4.41,0,0,-0.297784,0,0,0.954621,
4.42,0,0,-0.288223,0,0,0.957551,
4.43,0,0,-0.278633,0,0,0.960386,
4.44,0,0,-0.269015,0,0,0.963124,
4.45,0,0,-0.259371,0,0,0.965766,
4.46,0,0,-0.2497,0,0,0.968311,
4.47,0,0,-0.240004,0,0,0.97076,
4.48,0,0,-0.230285,0,0,0.973111,
4.49,0,0,-0.220542,0,0,0.975365,
4.5,0,0,-0.210777,0,0,0.977522,
4.51,0,0,-0.200992,0,0,0.979581,
4.52,0,0,-0.191186,0,0,0.981542,
4.53,0,0,-0.181361,0,0,0.983404,
4.54,0,0,-0.171518,0,0,0.985169,
4.55,0,0,-0.161658,0,0,0.986835,
4.56,0,0,-0.151781,0,0,0.988402,
4.57,0,0,-0.141889,0,0,0.98987,
4.58,0,0,-0.131984,0,0,0.991239,
4.59,0,0,-0.122065,0,0,0.99251,
4.6,0,0,-0.112133,0,0,0.993681,
4.61,0,0,-0.102191,0,0,0.994752,
4.62,0,0,-0.0922384,0,0,0.995725,
4.63,0,0,-0.0822766,0,0,0.996597,
4.64,0,0,-0.0723065,0,0,0.99737,
4.65,0,0,-0.0623292,0,0,0.998043,
4.66,0,0,-0.0523456,0,0,0.998617,
4.67,0,0,-0.0423568,0,0,0.99909,
4.68,0,0,-0.0323638,0,0,0.999464,
4.69,0,0,-0.0223676,0,0,0.999737,
4.7,0,0,-0.0123691,0,0,0.999911,
4.71,0,0,-0.00236935,0,0,0.999985,
4.72,0,0,0.00763061,0,0,0.999958,
4.73,0,0,0.0176298,0,0,0.999832,
4.74,0,0,0.0276273,0,0,0.999606,
4.75,0,0,0.0376219,0,0,0.99928,
4.76,0,0,0.0476128,0,0,0.998853,
4.77,0,0,0.057599,0,0,0.998327,
4.78,0,0,0.0675794,0,0,0.997701,
4.79,0,0,0.077553,0,0,0.996976,
4.8,0,0,0.0875189,0,0,0.99615,
4.81,0,0,0.097476,0,0,0.995225,
4.82,0,0,0.107423,0,0,0.994201,
4.83,0,0,0.11736,0,0,0.993077,
4.84,0,0,0.127285,0,0,0.991854,
4.85,0,0,0.137197,0,0,0.990531,
4.86,0,0,0.147096,0,0,0.98911,
4.87,0,0,0.156979,0,0,0.98759,
4.88,0,0,0.166847,0,0,0.98597,
4.89,0,0,0.176699,0,0,0.984253,
4.9,0,0,0.186532,0,0,0.982437,
4.91,0,0,0.196347,0,0,0.980522,
4.92,0,0,0.206143,0,0,0.97851,
4.93,0,0,0.215918,0,0,0.976399,
4.94,0,0,0.225671,0,0,0.974191,
4.95,0,0,0.235401,0,0,0.971886,
4.96,0,0,0.245109,0,0,0.969484,
4.97,0,0,0.254791,0,0,0.966984,
4.98,0,0,0.264448,0,0,0.964388,
4.99,0,0,0.274079,0,0,0.961695,
5,0,0,0.283682,0,0,0.958906,
5.01,0,0,0.293257,0,0,0.956022,
5.02,0,0,0.302803,0,0,0.953041,
5.03,0,0,0.312318,0,0,0.949966,
5.04,0,0,0.321802,0,0,0.946795,
5.05,0,0,0.331254,0,0,0.94353,
5.06,0,0,0.340673,0,0,0.94017,
5.07,0,0,0.350057,0,0,0.936717,
5.08,0,0,0.359407,0,0,0.933169,
5.09,0,0,0.368721,0,0,0.929529,
5.1,0,0,0.377997,0,0,0.925795,
5.11,0,0,0.387236,0,0,0.921969,
5.12,0,0,0.396437,0,0,0.918051,
5.13,0,0,0.405597,0,0,0.91404,
5.14,0,0,0.414718,0,0,0.909939,
5.15,0,0,0.423796,0,0,0.905746,
5.16,0,0,0.432833,0,0,0.901463,
